rule,type,train_n,train_hit,train_lift,test_n,test_hit,test_lift,test_mean_peak,passes_oos,target,feat,direction,cut
s3>=70 AND chart=V_recovery AND price_low<=5000won,combo3,84,0.7976190476190477,1.3891409324465982,24,,,,False,hit_20,,,
KOSDAQ AND chart=persistent_uptrend AND marcap<=200bn,combo3,85,0.8117647058823529,1.4137771456471437,24,,,,False,hit_20,,,
chart=persistent_uptrend AND marcap<=200bn AND price_low<=5000won,combo3,81,0.7777777777777778,1.3545851878583743,24,,,,False,hit_20,,,
KOSPI AND chart=persistent_uptrend AND marcap<=200bn,combo3,91,0.7582417582417582,1.3205610701099693,23,,,,False,hit_20,,,
KOSPI AND chart=V_recovery AND pos252_top10,combo3,114,0.7631578947368421,1.3291230602670516,20,,,,False,hit_20,,,
chart=persistent_uptrend AND pos252_top10 AND marcap<=200bn,combo3,134,0.753731343283582,1.3127056884469746,20,,,,False,hit_20,,,
past_120>=50 AND marcap<=200bn AND price_low<=5000won,combo3,101,0.7722772277227723,1.3450053774774806,20,,,,False,hit_20,,,
KOSPI AND past_120>=50 AND marcap<=200bn,combo3,95,0.8842105263157894,1.5399494767232045,19,,,,False,hit_20,,,
is_first_pullback AND chart=persistent_uptrend AND marcap<=200bn,combo3,97,0.7835051546391752,1.3645600419663153,16,,,,False,hit_20,,,
KOSDAQ AND rs>=1.1 AND marcap<=200bn,combo3,116,0.6982758620689655,1.4677174696623814,65,0.8769230769230769,1.7788205363768064,172.87716518133254,True,hit_30,,,
s10>=70 AND KOSDAQ AND marcap<=200bn,combo3,107,0.7102803738317757,1.4929499495261975,56,0.875,1.77491961414791,183.2789133045032,True,hit_30,,,
s3>=70 AND chart=V_recovery AND pos252_top10,combo3,121,0.6776859504132231,1.4244391971664698,50,0.84,1.7039228295819935,134.6812871413046,True,hit_30,,,
KOSDAQ AND past_60>=30 AND marcap<=200bn,combo3,124,0.6774193548387096,1.4238788355625491,37,0.8378378378378378,1.6995369278327477,218.64073455310643,True,hit_30,,,
s2>=70 AND chart=V_recovery AND pos252_top10,combo3,147,0.6598639455782312,1.3869788333451847,39,0.8205128205128205,1.6643934843291757,125.06230429507949,True,hit_30,,,
s12>=80 AND KOSDAQ AND marcap<=200bn,combo3,148,0.7027027027027027,1.4770223184857332,51,0.7843137254901961,1.5909643600205354,118.83739541169213,True,hit_30,,,
s12>=80 AND KOSDAQ AND price_low<=5000won,combo3,151,0.695364238410596,1.4615974802132128,30,0.7666666666666667,1.5551676619200736,93.64020088765261,True,hit_30,,,
s10>=90 AND KOSDAQ AND marcap200~500bn,combo3,167,0.6706586826347305,1.4096684679421643,94,0.7553191489361702,1.5321494541580742,134.0223731291611,True,hit_30,,,
s8>=90 AND chart=V_recovery AND pos252_top10,combo3,109,0.6697247706422018,1.4077054630310393,28,0.75,1.5213596692696372,97.39435596592584,True,hit_30,,,
new_high_252 AND KOSDAQ AND rs>=1.1,combo3,258,0.6550387596899225,1.3768366961078249,103,0.7475728155339806,1.5164361751943307,95.11398629124068,True,hit_30,,,
s12>=80 AND past_60>=30 AND marcap<=200bn,combo3,105,0.7142857142857143,1.5013688402190144,35,0.7428571428571429,1.5068705295623073,112.76101261406444,True,hit_30,,,
s10>=70 AND new_high_252 AND KOSDAQ,combo3,224,0.6607142857142857,1.3887661772025883,97,0.7422680412371134,1.5056755489678884,96.17330089658462,True,hit_30,,,
