n,invest,profit,final,ret_pct,avg_ret,avg_peak,SW_n,w100_n,w50_n,winrate,period,mode,filter,sort,combo
129,12900000,5883939.288743041,18783939.28874304,45.61193247087629,45.61193247087629,85.3830689592306,14,36,68,66.66666666666666,OOS,daily_1,F04_외인25,S02_거래대금높,F04_외인25__S02_거래대금높
129,12900000,5527089.5325580165,18427089.532558016,42.845655291147416,42.84565529114741,82.60043604229443,13,35,66,67.44186046511628,OOS,daily_1,F04_외인25,S03_점수낮,F04_외인25__S03_점수낮
129,12900000,5457730.636695607,18357730.63669561,42.30798943174889,42.30798943174889,82.70942015973105,14,36,68,66.66666666666666,OOS,daily_1,F04_외인25,S04_점수높,F04_외인25__S04_점수높
129,12900000,6199119.576200156,19099119.576200157,48.055190513179504,48.0551905131795,86.6271612472642,14,34,67,67.44186046511628,OOS,daily_1,F04_외인25,S05_변동성낮,F04_외인25__S05_변동성낮
129,12900000,5695074.312717474,18595074.312717475,44.14786288928275,44.14786288928275,86.01535302320326,14,39,69,66.66666666666666,OOS,daily_1,F04_외인25,S06_변동성높,F04_외인25__S06_변동성높
129,12900000,5688386.973370468,18588386.97337047,44.096023049383476,44.096023049383476,83.7161411745971,13,36,67,66.66666666666666,OOS,daily_1,F04_외인25,S07_slope강한,F04_외인25__S07_slope강한
129,12900000,6778723.170273974,19678723.170273975,52.5482416300308,52.548241630030795,92.53700725381547,15,37,70,68.9922480620155,OOS,daily_1,F04_외인25,S08_외인매수강,F04_외인25__S08_외인매수강
129,12900000,6036108.18385974,18936108.18385974,46.79153630899023,46.791536308990224,86.70015974367993,15,34,65,65.89147286821705,OOS,daily_1,F04_외인25,S09_52주고점근접,F04_외인25__S09_52주고점근접
129,12900000,5905488.396781057,18805488.396781057,45.77897982000819,45.77897982000819,87.23791533386196,15,39,70,67.44186046511628,OOS,daily_1,F04_외인25,S10_랜덤,F04_외인25__S10_랜덤
213,21300000,9806145.622988325,31106145.622988325,46.03824236144754,46.03824236144753,85.24939610672759,25,61,104,62.441314553990615,OOS,daily_1,F05_slope05_For양,S01_거래대금낮,F05_slope05_For양__S01_거래대금낮
